Ticker,Date,Open,High,Low,Close,Adj Close,Volume
ARGX,"Jun 18, 2024",378.38,383.36,377.48,377.96,377.96,"252,700"
ARGX,"Jun 17, 2024",385.88,386.55,377.47,378.30,378.30,"204,500"
ARGX,"Jun 14, 2024",387.78,390.68,383.52,387.00,387.00,"296,900"
ARGX,"Jun 13, 2024",387.24,389.82,384.65,388.34,388.34,"181,900"
ARGX,"Jun 12, 2024",380.39,384.11,376.59,382.50,382.50,"247,500"
ARGX,"Jun 11, 2024",376.30,378.90,374.55,376.79,376.79,"239,200"
ARGX,"Jun 10, 2024",372.08,380.34,368.57,379.30,379.30,"178,200"
ARGX,"Jun 7, 2024",386.80,386.80,375.79,375.81,375.81,"268,900"
ARGX,"Jun 6, 2024",386.76,387.40,382.70,386.80,386.80,"172,400"
ARGX,"Jun 5, 2024",382.30,387.95,378.00,385.00,385.00,"231,400"
ARGX,"Jun 4, 2024",377.92,382.81,375.21,378.58,378.58,"145,200"
ARGX,"Jun 3, 2024",372.01,379.16,371.21,377.92,377.92,"200,700"
ARGX,"May 31, 2024",361.86,373.54,361.26,371.02,371.02,"331,700"
ARGX,"May 30, 2024",373.87,377.23,359.36,362.16,362.16,"371,200"
ARGX,"May 29, 2024",381.00,392.40,376.88,377.77,377.77,"692,100"
ARGX,"May 28, 2024",367.07,369.64,364.61,366.34,366.34,"201,200"
ARGX,"May 24, 2024",361.01,368.15,358.80,367.07,367.07,"164,600"
ARGX,"May 23, 2024",370.86,370.86,359.99,361.02,361.02,"321,000"
ARGX,"May 22, 2024",361.86,369.90,361.67,363.73,363.73,"556,500"
ARGX,"May 21, 2024",359.76,361.62,356.38,356.66,356.66,"168,200"
ARGX,"May 20, 2024",364.03,366.91,360.68,361.58,361.58,"278,500"
ARGX,"May 17, 2024",375.34,376.32,364.15,365.81,365.81,"110,200"
ARGX,"May 16, 2024",375.90,378.05,373.62,376.60,376.60,"151,500"
ARGX,"May 15, 2024",359.41,380.75,359.41,376.96,376.96,"344,600"
ARGX,"May 14, 2024",359.87,360.75,352.77,356.01,356.01,"458,100"
ARGX,"May 13, 2024",373.77,376.85,358.31,359.48,359.48,"344,000"
ARGX,"May 10, 2024",382.81,386.70,370.60,374.63,374.63,"369,000"
ARGX,"May 9, 2024",380.44,385.57,361.00,382.55,382.55,"607,200"
ARGX,"May 8, 2024",399.55,400.61,381.99,386.08,386.08,"278,000"
ARGX,"May 7, 2024",397.14,398.81,392.73,398.81,398.81,"204,200"
ARGX,"May 6, 2024",389.07,397.35,386.42,393.78,393.78,"203,700"
ARGX,"May 3, 2024",395.00,397.18,384.45,388.20,388.20,"140,300"
ARGX,"May 2, 2024",387.38,393.69,384.25,393.42,393.42,"210,300"
ARGX,"May 1, 2024",375.50,390.87,371.01,383.34,383.34,"230,200"
ARGX,"Apr 30, 2024",374.36,377.06,371.75,375.50,375.50,"111,900"
ARGX,"Apr 29, 2024",370.82,379.34,370.63,375.29,375.29,"179,900"
ARGX,"Apr 26, 2024",370.82,375.80,366.72,372.80,372.80,"281,300"
ARGX,"Apr 25, 2024",371.11,377.78,367.17,368.60,368.60,"305,500"
